"Year","OFL","ABC","ACL","Landings","Total Mortality"
2013,"fill in","fill in","fill in","45.00","45.00"
2014,"fill in","fill in","fill in","54.09","54.09"
2015,"fill in","fill in","fill in","113.69","113.69"
2016,"fill in","fill in","fill in","75.61","75.61"
2017,"fill in","fill in","fill in","399.66","399.66"
2018,"fill in","fill in","fill in","598.69","598.69"
2019,"fill in","fill in","fill in","581.78","581.78"
2020,"fill in","fill in","fill in","501.07","501.07"
2021,"fill in","fill in","fill in","572.69","572.69"
2022,"fill in","fill in","fill in","699.13","699.13"
