"file","caption","alt_text","category","png_time","StartTime"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts7_Spawning_output.png","Spawning output",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts7_Spawning_output_with_95_asymptotic_intervals_intervals.png","Spawning output with ~95% asymptotic intervals",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts8_Spawning_output_by_area.png","Spawning output by area",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts9_Relative_spawning_output.png","Relative spawning output: B/B_0",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts9_Relative_spawning_output_intervals.png","Relative spawning output: B/B_0 with ~95% asymptotic intervals",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts10_Relative_spawning_output.png","Relative spawning output: B/B_0 by area",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts1_Total_biomass_(mt).png","Total biomass (mt)",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts2_Total_biomass_(mt)_by_area.png","Total biomass (mt) by area",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts4_Summary_biomass_(mt).png","Summary biomass (mt)",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts5_Summary_biomass_(mt)_by_area.png","Summary biomass (mt) by area",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts11_Age-0_recruits_(1000s)_with_95_asymptotic_intervals.png","Age-0 recruits (1,000s) with ~95% asymptotic intervals",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts12_Age-0_recruits_(1000s)_by_area.png","Age-0 recruits (1,000s) by area",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts13_Fraction_of_total_Age-0_recruits_by_area.png","Fraction of total Age-0 recruits by area",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)",NA,"Timeseries",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"recdevs1_points.png","Recruitment deviations",NA,"RecDev",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"recdevs2_withbars.png","Recruitment deviations with 95% intervals",NA,"RecDev",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"recdevs3_varcheck.png","Recruitment deviations variance check.<br> See later figure of transformed variance values for comparison with bias adjustment settings in the model.",NA,"RecDev",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"recruit_fit_bias_adjust.png","Points are transformed variances. Red line shows current settings for bias adjustment specified in control file. Blue line shows least squares estimate of alternative bias adjustment relationship for recruitment deviations (which may or may not be an improvement. For more information, see<br> 
<blockquote>Methot, R.D. and Taylor, I.G., 2011. Adjusting for bias due to variability of estimated recruitments in fishery assessment models. <i>Can. J. Fish. Aquat. Sci.</i>, 68:1744-1760.</blockquote><br> 
Estimated alternative inputs to SS control file associated with blue line in figure: 
<pre>1968.9   #_last_early_yr_nobias_adj_in_MPD 
1978.0   #_first_yr_fullbias_adj_in_MPD 
2013.9   #_last_yr_fullbias_adj_in_MPD 
2014.3   #_first_recent_yr_nobias_adj_in_MPD 
0.7779  #_max_bias_adj_in_MPD (1.0 to mimic pre-2009 models) </pre>",NA,"RecDev",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
"SR_curve.png","Stock-recruit curve.  Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-03-22 14:28:30,"StartTime: Mon Feb 27 16:23:48 2023"
