"Parameter","Value","Phase","Bounds","Status","SD","Prior (Exp. Val, SD)"
"NatM uniform Fem GP 1","0.078",2,"(0.02, 0.2)","OK",0.002,"Log Norm (-2.74, 0.31)"
"L at Amin Fem GP 1","8.159",3,"(2, 15)","OK",0.231,"None"
"L at Amax Fem GP 1","59.223",3,"(50, 70)","OK",0.293,"None"
"VonBert K Fem GP 1","0.139",3,"(0.02, 0.21)","OK",0.002,"None"
"CV young Fem GP 1","0.089",4,"(0.02, 0.21)","OK",0.009,"None"
"CV old Fem GP 1","0.039",4,"(0.01, 0.21)","OK",0.003,"None"
"Wtlen 1 Fem GP 1","1.19e-05",-99,"(0, 0.1)",NA,NA,"None"
"Wtlen 2 Fem GP 1","3.09",-99,"(2, 4)",NA,NA,"None"
"Mat50% Fem GP 1","10.87",-99,"(9, 12)",NA,NA,"None"
"Mat slope Fem GP 1","-0.688",-99,"(-3, 3)",NA,NA,"None"
"Eggs scalar Fem GP 1","7.218e-08",-99,"(1e-10, 0.1)",NA,NA,"None"
"Eggs exp len Fem GP 1","4.043",-99,"(2, 6)",NA,NA,"None"
"NatM uniform Mal GP 1","0.064",-99,"(0.02, 0.2)",NA,NA,"Log Norm (-2.74, 0.31)"
"L at Amin Mal GP 1","8.159",-99,"(0, 15)",NA,NA,"None"
"L at Amax Mal GP 1","53.713",3,"(50, 70)","OK",0.262,"None"
"VonBert K Mal GP 1","0.163",3,"(0.02, 0.21)","OK",0.003,"None"
"CV young Mal GP 1","0.098",4,"(0.02, 0.21)","OK",0.009,"None"
"CV old Mal GP 1","0.046",4,"(0.01, 0.21)","OK",0.003,"None"
"Wtlen 1 Mal GP 1","1.08e-05",-99,"(0, 0.1)",NA,NA,"None"
"Wtlen 2 Mal GP 1","3.118",-99,"(2, 4)",NA,NA,"None"
"CohortGrowDev","1",-99,"(-1, 1)",NA,NA,"None"
"FracFemale GP 1","0.5",-99,"(1e-06, 0.999)",NA,NA,"None"
"SR LN(R0)","8.221",1,"(7, 11)","OK",0.058,"None"
"SR BH steep","0.72",-99,"(0.21, 0.99)",NA,NA,"Full Beta (0.72, 0.16)"
"SR sigmaR","0.5",-99,"(0, 2)",NA,NA,"None"
"SR regime","0",-99,"(-5, 5)",NA,NA,"None"
"SR autocorr","0",-99,"(0, 2)",NA,NA,"None"
"Early RecrDev 1892","-0.011",5,"(-5, 5)","act",0.497,"None"
"Early RecrDev 1893","-0.011",5,"(-5, 5)","act",0.497,"None"
"Early RecrDev 1894","-0.012",5,"(-5, 5)","act",0.497,"None"
"Early RecrDev 1895","-0.013",5,"(-5, 5)","act",0.497,"None"
"Early RecrDev 1896","-0.014",5,"(-5, 5)","act",0.497,"None"
"Early RecrDev 1897","-0.015",5,"(-5, 5)","act",0.496,"None"
"Early RecrDev 1898","-0.015",5,"(-5, 5)","act",0.496,"None"
"Early RecrDev 1899","-0.016",5,"(-5, 5)","act",0.496,"None"
"Early RecrDev 1900","-0.017",5,"(-5, 5)","act",0.496,"None"
"Early RecrDev 1901","-0.018",5,"(-5, 5)","act",0.495,"None"
"Early RecrDev 1902","-0.02",5,"(-5, 5)","act",0.495,"None"
"Early RecrDev 1903","-0.021",5,"(-5, 5)","act",0.495,"None"
"Early RecrDev 1904","-0.022",5,"(-5, 5)","act",0.495,"None"
"Early RecrDev 1905","-0.023",5,"(-5, 5)","act",0.494,"None"
"Early RecrDev 1906","-0.025",5,"(-5, 5)","act",0.494,"None"
"Early RecrDev 1907","-0.026",5,"(-5, 5)","act",0.494,"None"
"Early RecrDev 1908","-0.028",5,"(-5, 5)","act",0.493,"None"
"Early RecrDev 1909","-0.03",5,"(-5, 5)","act",0.493,"None"
"Early RecrDev 1910","-0.031",5,"(-5, 5)","act",0.492,"None"
"Early RecrDev 1911","-0.033",5,"(-5, 5)","act",0.492,"None"
"Early RecrDev 1912","-0.035",5,"(-5, 5)","act",0.491,"None"
"Early RecrDev 1913","-0.037",5,"(-5, 5)","act",0.491,"None"
"Early RecrDev 1914","-0.039",5,"(-5, 5)","act",0.49,"None"
"Early RecrDev 1915","-0.042",5,"(-5, 5)","act",0.49,"None"
"Early RecrDev 1916","-0.044",5,"(-5, 5)","act",0.489,"None"
"Early RecrDev 1917","-0.047",5,"(-5, 5)","act",0.489,"None"
"Early RecrDev 1918","-0.05",5,"(-5, 5)","act",0.488,"None"
"Early RecrDev 1919","-0.052",5,"(-5, 5)","act",0.487,"None"
"Early RecrDev 1920","-0.056",5,"(-5, 5)","act",0.486,"None"
"Early RecrDev 1921","-0.059",5,"(-5, 5)","act",0.486,"None"
