" ","Base","No sex selectivity","Simpler blocks","WA NTWL asymptotic","WCGBTS asymptotic","Float Q","Unmirror Tri"
"TOTAL_like","3980","4257","4105","4017","3984","3950","3979"
"Survey_like","-9.76","-2.99","-8.36","-9","-9.35","-9.66","-9.67"
"Length_comp_like","1477","1631","1559","1493","1479","1483","1475"
"Age_comp_like","2524","2641","2567","2547","2525","2487","2524"
"Parm_priors_like","0.184","0.124","0.185","0.141","0.184","0.182","0.195"
"Recr_Virgin_millions","3.72","3.95","4.1","3.93","3.73","3.7","3.87"
"SR_LN(R0)","8.22","8.28","8.32","8.28","8.22","8.22","8.26"
"NatM_uniform_Fem_GP_1","0.0779","0.0553","0.078","0.0761","0.0779","0.0779","0.0784"
"L_at_Amax_Fem_GP_1","59.2","61.1","59.4","58.9","59.1","59.2","59.3"
"L_at_Amax_Mal_GP_1","53.7","53.1","53.7","52.9","53.6","53.7","53.8"
"VonBert_K_Fem_GP_1","0.139","0.126","0.138","0.141","0.14","0.139","0.139"
"VonBert_K_Mal_GP_1","0.163","0.165","0.162","0.169","0.164","0.163","0.162"
"SSB_Virgin","8009","17660","8863","8769","8010","8011","8264"
"Bratio_2023","0.351","0.532","0.441","0.339","0.35","0.353","0.392"
"SPRratio_2022","0.469","0.182","0.347","0.414","0.467","0.468","0.431"
