" ","Base","McAllister-Ianelli","No extra SD","Francis ages x10","Francis lengths x10"
"TOTAL_like","3980","5857","4002","25536","16669"
"Survey_like","-9.76","-8.21","4.28","5.11","-5.95"
"Length_comp_like","1477","2340","1481","1833","13924"
"Age_comp_like","2524","3537","2528","23610","2764"
"Parm_priors_like","0.184","0.254","0.182","0.187","0.126"
"Recr_Virgin_millions","3.72","3.87","3.73","2.31","4.01"
"SR_LN(R0)","8.22","8.26","8.22","7.75","8.3"
"NatM_uniform_Fem_GP_1","0.0779","0.0806","0.0779","0.078","0.0755"
"L_at_Amax_Fem_GP_1","59.2","59.4","59.2","60.6","58.1"
"L_at_Amax_Mal_GP_1","53.7","53.6","53.7","54.1","52.6"
"VonBert_K_Fem_GP_1","0.139","0.138","0.139","0.131","0.153"
"VonBert_K_Mal_GP_1","0.163","0.165","0.162","0.161","0.175"
"SSB_Virgin","8009","7808","8054","5249","9031"
"Bratio_2023","0.351","0.342","0.348","0.361","0.463"
"SPRratio_2022","0.469","0.451","0.471","0.873","0.31"
