

 Females then males 
"year","month","fleet","sex","partition","ageErr","LbinLo","LbinHi","Ntows","Nsamps","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
2001,7,"NTWL.O",3,0,1,-1,-1,5,39,10,0,0,0,0,0.0792,0.0728,0.0243,0.0741,0.0728,0.0741,0.0984,0.0256,0.0243,0,0.0243,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.027,0,0.0997,0.0741,0.0499,0.0243,0,0.0486,0,0.0243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,"NTWL.O",3,0,1,-1,-1,6,14,8,0,0,0,0,0,0,0,0,0.0311,0.1008,0,0.1008,0,0,0,0,0,0.0708,0.1008,0.1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489,0,0,0,0,0,0.0213,0.0213,0,0.2017,0.1008,0,0,0,0.1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"NTWL.O",3,0,1,-1,-1,4,8,5,0,0,0,0,0.233,0.0952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2086,0.1165,0,0.2301,0.1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"NTWL.O",3,0,1,-1,-1,12,28,16,0,0,0,0,0,0,0.0231,0.0271,0,0.0503,0.0217,0.3531,0.0281,0.0215,0,0.0113,0,0,0,0.0167,0.0113,0,0,0.0113,0,0,0.0113,0.0113,0,0,0,0,0,0,0,0,0,0,0.3418,0,0,0.0222,0.0167,0,0.0107,0.0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"NTWL.W",3,0,1,-1,-1,1,8,2,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0.125,0,0.125,0.125,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"NTWL.W",3,0,1,-1,-1,3,21,6,0,0,0,0,0,0,0,0,0.0475,0.0478,0.0955,0,0.143,0.0953,0.0475,0,0,0,0,0.0475,0,0,0,0.0475,0,0,0,0,0,0.0475,0.0475,0,0,0,0,0,0,0,0,0,0,0.0478,0,0.0475,0.0478,0,0.0475,0,0.0478,0,0,0,0,0,0,0.0475,0,0,0,0,0,0,0,0.0475,0,0,0,0,0,0
1980,7,"TWL.C",3,0,1,-1,-1,72,234,104,0,0,0,0,0,0.0128,0.0367,0.03,0.018,0.0248,0.0394,0.0542,0.0554,0.0274,0.0136,0.0136,0.0127,0,0.0032,0.0049,0.0223,0,0,0,0.0067,0.006,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0.0105,0.0352,0.0306,0.0472,0.0636,0.0313,0.0391,0.0706,0.0301,0.0495,0.0214,0.0302,0.0068,0.034,0.0176,0.0121,0.0347,0,0,0.0075,0.0043,0.0083,0,0.006,0,0,0.006,0.006,0,0,0.0121
1981,7,"TWL.C",3,0,1,-1,-1,47,161,69,0,0,0,0,0.0134,0.0173,0.021,0.0217,0.0536,0.0532,0.0553,0.0252,0.0574,0.0604,0.0237,0.0155,0.0213,0.003,0.018,0.0057,0.0235,0.0131,0,0.0065,0,0.0017,0.0033,0,0,0.009,0,0,0,0,0,0,0,0,0,0.0134,0.009,0.0194,0.0602,0.0751,0.0231,0.0284,0.0349,0.0754,0.0382,0.0362,0.0123,0,0.0077,0,0.0127,0.009,0,0.0065,0,0,0.0075,0,0,0,0,0,0.0044,0,0,0.0037
1982,7,"TWL.C",3,0,1,-1,-1,51,210,80,0,0,0,0,0,0.06,0.0089,0.0295,0.0454,0.0602,0.0522,0.0551,0.0107,0.0397,0.0226,0,0.0076,0.0078,0.0043,0,0.004,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0,0.0057,0.0501,0.0231,0.051,0.0542,0.114,0.0451,0.0492,0.0125,0.0194,0.0076,0.0153,0.0076,0.0153,0.0049,0.0233,0.0153,0.0201,0.0153,0,0,0,0.0076,0,0,0,0,0.0076,0,0,0.0076
1983,7,"TWL.C",3,0,1,-1,-1,116,396,171,0,0,0,0.001,0.0095,0.0101,0.0473,0.0348,0.0629,0.0278,0.0605,0.0122,0.0326,0.0161,0.0272,0.0112,0.0068,0.0038,0.004,7e-04,0.0068,0,0.0068,0.0038,0.0101,0,0,0.0034,0.0034,0,0.0034,0,0.0034,0,0.0038,0,0,0,0,0.0189,0.0101,0.07,0.0527,0.0815,0.0504,0.0757,0.0255,0.0266,0.0165,0.0184,0.0211,0.0185,0.0034,0.0101,0.015,0.0101,0.0034,0.0068,0.0068,0.0073,0.0034,0,0.0034,0.0034,0,0,0.0034,0,0.0034,0.021
1984,7,"TWL.C",3,0,1,-1,-1,78,363,128,0,0,0,0.0065,0.0052,0.0365,0.0418,0.0603,0.0578,0.0346,0.0718,0.0372,0.0139,0.0173,0.0069,0.0242,0.0114,0.0104,0.0035,0.0041,0.0035,0,0.0035,0.0041,0,0.0069,0,0.0069,0.0069,0,0.0042,0,0,0.0035,0.0104,0,0,8e-04,0.0064,0.0105,0.028,0.0381,0.0635,0.0449,0.0386,0.0656,0.0432,0.0069,0.0035,0.0224,0.0139,0.0173,0.0104,6e-04,0.0035,0,0.0035,0.0104,0,0.0069,0.0069,0.0035,0.0104,0.0139,6e-04,0.0035,0.0069,0.0035,0.0042,0.0145
1985,7,"TWL.C",3,0,1,-1,-1,76,401,131,0,0,0,0,0.0089,0.0097,0.0468,0.0553,0.0682,0.0412,0.046,0.0295,0.0228,0.0032,0.0032,0.0194,0.0109,0.0039,0.0162,0.0065,0.0162,0.0032,0.0032,0.0065,0.0065,0.0032,0.0032,0,0.0032,0.0032,0,0,0,2e-04,0.0065,0,0,0,0,0.0065,0.0111,0.0508,0.0467,0.1012,0.076,0.0669,0.0286,0.0273,0.0104,0.0032,0.0133,0.0136,0.0097,0,0.0012,0.0052,0.0032,0.0072,0.0162,0.0129,0.0032,0.0129,0.0032,0,0.0097,0,0,0,0.0032,0.0097
1987,7,"TWL.C",3,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,"TWL.C",3,0,1,-1,-1,1,28,5,0,0,0,0,0,0,0.0361,0.0354,0.0361,0.1061,0.1068,0.1068,0.0714,0.0722,0.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361,0.0722,0,0.1068,0.0714,0.1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"TWL.C",3,0,1,-1,-1,6,75,16,0,0,0,0,0,0,0.005,0.0443,0.0768,0.0423,0.1653,0.0536,0.0344,0,0.0294,0,0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505,0.0491,0.0654,0.0268,0.0773,0.0856,0.0578,0.0734,0.005,0.0129,0,0.005,0,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137
2003,7,"TWL.C",3,0,1,-1,-1,4,43,10,0,0,0,0,0,0,0.015,0.1075,0.2353,0.015,0.0774,0.0822,0.1026,0.0624,0.0252,0.0252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301,0.0301,0.1146,0,0.015,0.0624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"TWL.C",3,0,1,-1,-1,5,12,7,0,0,0,0,0.0833,0.0833,0.0833,0,0.0833,0.0833,0,0,0.0833,0.0833,0,0,0,0,0,0,0.0833,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"TWL.C",3,0,1,-1,-1,6,54,13,0,0,0,0.0109,0.0109,0.0327,0.0327,0.0545,0,0.115,0.0436,0.0109,0.0218,0.0629,0.0738,0.0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545,0.0436,0.0327,0.0109,0.0956,0.052,0.1259,0.052,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,"TWL.C",3,0,1,-1,-1,5,32,9,0,0,0,0,0,0,0.03,0,0,0.15,0.03,0,0.09,0,0.06,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.06,0.1767,0.03,0.06,0.0433,0.03,0.09,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"TWL.C",3,0,1,-1,-1,2,21,5,0,0,0,0,0.0685,0.0171,0.0342,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856,0.1027,0.0171,0,0.6577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,"TWL.C",3,0,1,-1,-1,3,21,6,0,0,0,0,0,0,0,0.1429,0.0476,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952,0.0952,0.2381,0.0476,0.0476,0.1429,0,0.0476,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,7,"TWL.O",3,0,1,-1,-1,9,417,64,0,0,0,0,0,1e-04,0.0011,0.0023,0.002,0.001,0.0144,0.0173,0.0206,0.02,0.0207,0.0301,0.0421,0.0117,0.0357,0.0203,0.0131,0.028,0.0236,0.0096,0,0.0073,0.0037,0.0039,0.0037,0.0077,0,0,0,0,0,0,0,0,0,0,6e-04,0.001,0.0194,0.006,0.0065,0.0173,0.0356,0.0137,0.0238,0.0231,0.0364,0.0563,0.0265,0.0584,0.0517,0.0315,0.0191,0.042,0.0282,0.0296,0.0184,0.0134,0.0019,0.0115,0.0148,0.0155,0.0085,0.0152,0.0015,0.0327
1981,7,"TWL.O",3,0,1,-1,-1,7,428,49,0,0,0,0,0,0,0,0,2e-04,2e-04,0.0433,0.0456,0.033,0.047,0.0297,0.0161,0.0195,0.0366,0.0183,0.0218,0.0156,0.0179,0.0036,0.0046,0.0046,0.0046,0.0012,0.0035,0,1e-04,0.0023,0,0.0012,0.0012,0.0049,0,0,0,0,0,0,0,0,0.0026,0.0147,0.0062,0.0274,0.0316,0.0596,0.0295,0.03,0.0572,0.0489,0.0573,0.0334,0.0139,0.0563,0.0418,0.0219,0.0076,0.0098,0.0054,0.0049,4e-04,0.0107,0.0203,0.0023,0.0016,0.0013,0.027
1982,7,"TWL.O",3,0,1,-1,-1,14,457,77,0,0,0,0,0,0,0,0.0071,0.0108,0.0055,0.0117,0.0166,0.0265,0.0154,0.0284,0.0169,0.0104,0.0126,0.02,0.0127,0.0242,0.024,0.0036,0.004,0.0185,0.0093,0.0083,0.0032,0,5e-04,0.0036,0,0.0038,0,0.0063,0,0,0,0,0,0,5e-04,0.0039,0.0099,0.0206,0.0239,0.0382,0.0298,0.0338,0.0252,0.0168,0.0234,0.0148,0.0502,0.0389,0.0568,0.0264,0.0216,0.0203,0.0305,0.0117,0.0182,0.02,0.0048,0.015,0.0083,7e-04,0.0139,0.0163,0.1015
1983,7,"TWL.O",3,0,1,-1,-1,29,2724,205,0,0,0,0,0.0026,0.003,0.013,0.0258,0.0356,0.0479,0.0365,0.0314,0.0344,0.0338,0.0277,0.0131,0.007,0.0101,0.0117,0.01,0.0096,0.0077,0.0086,0.0077,0.0043,0.0029,0.0023,0.0028,0.0026,5e-04,1e-04,0.0019,0.0014,0.0017,0.0035,0,0,0,0,7e-04,0.0051,0.019,0.0433,0.0574,0.0569,0.0273,0.0255,0.0279,0.0331,0.0222,0.0147,0.0151,0.0173,0.0129,0.0223,0.0174,0.0208,0.0166,0.0132,0.0101,0.009,0.0104,0.0066,0.0101,0.0087,0.0107,0.0075,0.0062,0.0044,0.0465
1984,7,"TWL.O",3,0,1,-1,-1,19,1856,134,0,0,0,2e-04,8e-04,0.0053,0.0117,0.0187,0.0327,0.043,0.049,0.0282,0.0183,0.0301,0.0181,0.0122,0.0057,0.009,0.0071,0.0049,0.0167,0.0073,0.0115,0.0083,0.0044,0.0036,0.0033,0.0044,0.0017,0.004,0,0.0022,0.0011,0.0024,0.002,0,0,0,3e-04,6e-04,0.0084,0.0148,0.0279,0.0569,0.0557,0.0445,0.0292,0.0272,0.0205,0.031,0.025,0.0137,0.0073,0.0106,0.015,0.0231,0.0229,0.0186,0.0148,0.0188,0.0111,0.0138,0.0098,0.005,0.0095,0.0049,0.0109,0.0085,0.0112,0.0607
1985,7,"TWL.O",3,0,1,-1,-1,24,1204,169,0,0,0,0,0,0.0078,0.0192,0.0233,0.0495,0.0625,0.0542,0.0352,0.0318,0.0207,0.019,0.0187,0.0166,0.0098,0.0041,0.0042,0.0047,0.01,0.0108,0.006,0.007,0,0.0015,0,0.0041,4e-04,2e-04,0.0012,0,0.0013,0.0048,0,0,0,0,0.0015,0.0061,0.0317,0.0506,0.0763,0.0643,0.0462,0.0343,0.0233,0.0164,0.0202,0.0171,0.0105,0.0091,0.0073,0.0022,0.012,0.0102,0.0072,0.0061,0.0105,0.0062,0.0077,0.0098,0.0078,0.0104,0.0028,0.0026,0.0023,0.004,0.0547
1986,7,"TWL.O",3,0,1,-1,-1,16,807,113,0,0,0,0,0.0082,0.0219,0.0375,0.0321,0.032,0.0523,0.0537,0.0625,0.0341,0.0159,0.0256,0.0132,0.0192,0.0044,0.003,0.0045,0,0.0116,0.0103,0.0027,0.0032,0.0068,0,0,2e-04,0.0035,0,0.0048,0,0,0.0104,0,0,0,0.0032,0.0121,0.0172,0.0339,0.0733,0.0564,0.0668,0.0433,0.0455,0.0133,0.0179,0.0051,0.005,0.0095,0.0053,0.0069,0.0032,0.002,0.0061,0.021,0.0042,0.0153,0.0063,0,0.0049,0.0102,0.0027,0.0015,0.0058,0.0013,0.0032,0.0241
1987,7,"TWL.O",3,0,1,-1,-1,29,1448,205,0,0,0,0,9e-04,0.0037,0.0123,0.0352,0.0534,0.0539,0.0548,0.0682,0.0521,0.0306,0.0122,0.0114,0.0056,0.0094,0.0113,0.0029,0.0057,0.004,0.002,0.0015,0.0075,0.0033,0.0028,0.0036,0.0019,0.0015,0,9e-04,0,1e-04,2e-04,0,0,0,0,5e-04,0.0053,0.0167,0.0682,0.086,0.065,0.091,0.0553,0.0287,0.0218,0.0152,0.0093,0.0022,0.0073,0.0108,0,0.0025,0.004,0.0051,0.0078,0.0049,0.0044,0.0068,0.0035,3e-04,0.0039,1e-04,0.0014,0,0,0.0188
1988,7,"TWL.O",3,0,1,-1,-1,16,459,79,0,0,0,0,0,0.008,0.0272,0.0167,0.0787,0.0616,0.0436,0.0892,0.0414,0.028,0.022,0.0197,0.0135,0.0064,0.0055,0.0077,0.0057,0.0028,0.0057,0.0114,0,0.0028,0,0.0084,0.0028,0.0028,0.0022,0.0028,0,0,0,0,0,0,0,0.0016,0.005,0.0283,0.0373,0.0723,0.0596,0.0461,0.039,0.0411,0.0202,0.0078,0,0.0057,0.0099,0.0057,0,0,0.0072,0.0057,0.0028,0.0014,0.0177,0.0027,0.0044,0.0028,0.0079,0,0.005,0.0085,0.0057,0.0318
1989,7,"TWL.O",3,0,1,-1,-1,23,1055,162,0,0,0,2e-04,3e-04,0.0045,0.0115,0.022,0.0467,0.0679,0.0653,0.0489,0.039,0.0335,0.0289,0.0194,0.0114,0.0067,0.0125,0.0098,0.0017,0.0065,0.0013,5e-04,0.0067,0.0017,0,0,0.0027,0.0033,0.0017,0.0036,0.0033,0.0027,0.0038,0,0,0,0,3e-04,0.0064,0.0189,0.036,0.0444,0.0789,0.0561,0.0409,0.037,0.0208,0.0135,0.0114,0.0038,0.0136,0.006,0.011,0.0074,0.0028,0.0047,0.0076,0.0052,0.007,0.0078,0.016,0.0064,0.0072,0.0073,0.0021,0.0069,0.0035,0.0409
1990,7,"TWL.O",3,0,1,-1,-1,20,998,141,0,0,0,0,2e-04,0.0074,0.0153,0.0221,0.05,0.0559,0.07,0.0698,0.0456,0.0521,0.0272,0.0243,0.0125,0.0123,0.0056,0.0056,0.0043,0.0031,0.0038,0,6e-04,0.0029,0,0,0,0.0039,0,0,0.0022,0,0.004,0,0,0,0,0.0023,0.0031,0.0206,0.0312,0.0544,0.0652,0.0742,0.0675,0.0433,0.027,0.0173,0.009,0.0127,0.0046,0.0095,0.0068,0.0028,0.0029,0.0024,0.0045,8e-04,0.001,0.0022,0.0039,0.006,6e-04,2e-04,0.0015,8e-04,4e-04,0.0206
1991,7,"TWL.O",3,0,1,-1,-1,22,850,139,0,0,0,5e-04,0.0055,0.0154,0.0279,0.043,0.063,0.0459,0.0538,0.0659,0.042,0.0227,0.0199,0.0148,0.0076,0.0087,0.0037,0.0018,0.0027,0.0023,0.0018,0,0.0016,0,0.0018,2e-04,0,0,0,0,0,0,0.0017,0,0,0,0.0016,0.0062,0.0179,0.0323,0.0621,0.0756,0.0788,0.06,0.0439,0.0197,0.0239,0.0177,0.0056,0.0055,0.0107,0.0037,0.0125,0,0.0058,0.0052,0.007,0.0028,3e-04,0.0056,0.0027,0.0055,0.0052,0.004,0.0073,0.003,0.0018,0.0117
1992,7,"TWL.O",3,0,1,-1,-1,32,1280,209,0,0,0,0,0.0053,0.0071,0.0278,0.0416,0.0578,0.0514,0.0491,0.0307,0.0473,0.0298,0.0229,0.0138,0.0208,0.0053,0.0071,0.0044,0.0041,0.0024,0.0033,0.0036,0,0.0014,0,0.0011,0,0.0025,7e-04,0.0012,0,0,0.0011,0,0,0,0,0.0031,0.0215,0.0464,0.0561,0.0871,0.0659,0.0465,0.0372,0.033,0.0233,0.0145,0.0162,0.0058,0.0109,0.0066,0.0052,0.0052,0.0059,0.0066,0.0023,0.0043,0.0054,0.0027,7e-04,0.005,0.0073,0.0033,2e-04,0.004,2e-04,0.0239
1993,7,"TWL.O",3,0,1,-1,-1,22,1110,155,0,0,0,0,8e-04,0.0101,0.0284,0.0528,0.0567,0.0428,0.0705,0.0639,0.0387,0.0393,0.0173,0.0213,0.0217,0.0101,0.0099,0.0077,0.0053,0.0035,0.0032,6e-04,0.0011,0.0018,0.0029,6e-04,0,6e-04,0.0012,0,0,0,0,0,0,0,1e-04,0.0031,0.0084,0.0295,0.0715,0.0697,0.0684,0.0443,0.0276,0.0225,0.0264,0.0122,0.019,0.0081,0.0104,0.0054,0.0063,0.0065,0.0074,0.0117,0.0049,0.0045,3e-04,2e-04,0.0018,0.002,0.0021,0.0029,0.0022,0,0.0024,0.0052
1994,7,"TWL.O",3,0,1,-1,-1,4,200,28,0,0,0,0,0.0014,0.0203,0.0109,0.0168,0.0513,0.0458,0.0535,0.0432,0.0139,0.017,0.008,0.0125,0.016,0.0014,0.008,0.008,0.008,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0.0088,0.0233,0.0834,0.0879,0.0993,0.0269,0.0215,0.0788,0.0309,0.03,0.0045,0.0365,0.008,0.008,0,0.008,0,0,0.0045,0.008,0.008,0.0045,0,0.008,0,0.016,0.016,0,0.008,0.0174
1995,7,"TWL.O",3,0,1,-1,-1,14,794,99,0,0,0,0,0.0034,0.0174,0.0372,0.045,0.0695,0.0934,0.0826,0.0362,0.0291,0.0225,0.0024,0.0128,0.0031,0.0062,0.0031,0.0031,0,0,0.0032,0,5e-04,0.0027,0.0031,0,0,0,0.0031,0,0,0,0,0,0,0,0,0.0103,0.0436,0.0675,0.0828,0.0717,0.0668,0.0696,0.0237,0.0194,0.0079,0.008,0.0048,0.01,0.0118,0.0072,0,0.0072,0,4e-04,2e-04,0.0014,5e-04,5e-04,0,0,0,0,7e-04,2e-04,0,0.0043
1996,7,"TWL.O",3,0,1,-1,-1,18,1093,127,0,0,0,2e-04,0.0114,0.0363,0.0517,0.0551,0.0509,0.0392,0.0575,0.058,0.0219,0.0174,0.0132,0.0155,0.0135,0.0095,0.0029,0.0046,0,0.0023,0,0,7e-04,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,2e-04,0.0116,0.03,0.0548,0.0646,0.0524,0.0625,0.0551,0.0405,0.0206,0.0094,0.0145,0.0089,0.016,8e-04,0.0094,0.0091,0.0047,0.0179,0.0047,0.0013,0.0023,0.0023,0,0.0052,0.0055,0,0.0023,0,0.006,0.0023,0.021
1997,7,"TWL.O",3,0,1,-1,-1,28,1537,198,0,0,0,0,0.002,0.0025,0.0134,0.0315,0.0666,0.0546,0.0572,0.0615,0.0464,0.0335,0.0139,0.0086,0.0036,0.0042,0.0066,0.0026,0.0026,0.0024,0.0028,0,8e-04,0,0,0.0023,0,0,0,0,0.0011,0,0.001,0,0,0,8e-04,2e-04,0.012,0.0421,0.0644,0.0972,0.0929,0.0768,0.074,0.0353,0.0157,0.0143,0.008,0.0058,0.0016,0.005,0.0021,0.0031,0.0013,0.0025,0.0046,0,0.0012,0,4e-04,0.003,0.0024,0,0,5e-04,0.0012,0.0101
1998,7,"TWL.O",3,0,1,-1,-1,28,1554,198,0,0,0,1e-04,0.0013,0.0122,0.0295,0.0624,0.0644,0.0615,0.0519,0.0406,0.0318,0.0263,0.0179,0.0143,0.0077,0.0104,0.0057,0.0047,0.0027,0.0023,0.0019,2e-04,2e-04,7e-04,0.0016,0,2e-04,0,0,0,4e-04,0,7e-04,0,0,2e-04,0,0.0033,0.0146,0.0398,0.0661,0.0741,0.0697,0.0624,0.0456,0.0363,0.0249,0.0171,0.0132,0.0077,0.0081,0.0083,0.0041,0.0014,0.0032,0.0076,0.0037,0.0034,0.001,5e-04,0.0018,0.001,0.001,8e-04,0.0017,8e-04,0.0016,0.0214
