"Year","Adopted OFL (mt)","Adopted ABC (mt)","Adopted ACL (mt)","Assumed removals (mt)","OFL (mt)","Buffer","ABC","ACL","Spawning Output","Fraction Unfished"
2023,"1413","1284","1284","863.16","-","-","-","-",2808.87,0.35
2024,"1401","1267","1267","860.19","-","-","-","-",2782.56,0.35
2025,"-","-","-","-","646.93","0.873","564.77","533.39",2739.4,0.34
2026,"-","-","-","-","656.02","0.864","566.8","533.26",2713.76,0.34
2027,"-","-","-","-","677","0.856","579.51","542.25",2678.11,0.33
2028,"-","-","-","-","707.29","0.848","599.78","557.64",2637.77,0.33
2029,"-","-","-","-","743.2","0.84","624.29","576.93",2601.05,0.32
2030,"-","-","-","-","781.39","0.832","650.12","598.45",2577.72,0.32
2031,"-","-","-","-","819.19","0.824","675.01","621.13",2575.43,0.32
2032,"-","-","-","-","854.49","0.817","698.12","644.73",2596.64,0.32
2033,"-","-","-","-","885.95","0.809","716.73","666.53",2638.56,0.33
2034,"-","-","-","-","913.01","0.801","731.32","686.28",2695.91,0.34
